long,lat,tlarvae,nfunc,nstruc,ntrash,week2,day2,mhi,ndvi,ab
76.62733889,39.305825,0,2,0,0,2.16,2,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,8,0,0,0.77,0,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,0,1,0,0.1,1,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,0,1,0,2.88,2,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,1,3,0,1.19,2,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,2,13,3,2,6.16,2,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,5,0,0,1.86,1,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,0,1,0,6.14,1,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,1,0,0,0.71,2,0.665518024,0.902325749,-0.559405941
76.62733889,39.305825,0,5,0,0,3.65,0,0.665518024,0.902325749,-0.559405941
76.62883889,39.30916389,0,2,2,0,2.16,2,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,7,0,0,0.77,0,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,3,3,0,2.88,2,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,7,0,1,1.19,2,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,8,0,0,6.16,2,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,5,0,1,6.14,1,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,1,18,0,1,0.71,2,0.665518024,-0.660033303,-0.559405941
76.62883889,39.30916389,0,8,0,0,3.65,0,0.665518024,-0.660033303,-0.559405941
76.62449167,39.30646389,1,3,1,1,2.88,2,0.665518024,0.050819549,-0.559405941
76.62449167,39.30646389,0,5,2,0,6.16,2,0.665518024,0.050819549,-0.559405941
76.62449167,39.30646389,0,1,0,0,1.86,1,0.665518024,0.050819549,-0.559405941
